Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Yuma|a member of the North American Indian people of Arizona and adjacent Mexico and California
Zuni|a member of the Pueblo people living in western New Mexico
Indian|a native or inhabitant of India
Assamese|native or inhabitant of the state of Assam in northeastern India
Dravidian|a member of one of the aboriginal inhabitants of India
Badaga|a member of an agricultural people of southern India
Gadaba|a member of an agricultural people in southeastern India
Gond|a member of a formerly tribal people in south central India
Kanarese|a member of a Kannada-speaking group of people living chiefly in Kanara in southern India
Kolam|a member of a formerly tribal people now living in south central India
Kota|a member of the Dravidian people living in the Nilgiri Hills in southern India
Kui|a member of the Dravidian people living in southeastern India
Malto|a member of the Dravidian people living in northern Bengal in eastern India
Savara|a member of the Dravidian people living in southern India
Tamil|a member of the mixed Dravidian and Caucasian people of southern India and Sri Lanka
Telugu|a member of the people in southeastern India (Andhra Pradesh) who speak the Telugu language
Toda|a member of a pastoral people living in the Nilgiri Hills of southern India
Tulu|a member of a Dravidian people living on the southwestern coast of India
Gujarati|a member of the people of Gujarat
Kashmiri|a member of the people of Kashmir
Oriya|a member of a people in India living in Orissa and neighboring areas
Punjabi|a member of the people of Pakistan and Punjab
Maratha|a member of a people of India living in Maharashtra
Aborigine|a member of the people living in Australia when Europeans arrived
Slavic people|group of people speaking a Slavonic language
Slav|any member of the people of eastern Europe or Asian Russia who speak a Slavonic language
Acadian|an early French settler in the Maritimes
Cajun|a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
Anabaptist|adherent of Anabaptism
Mennonite|a member of an Anabaptist movement in Holland noted for its simplicity of life
Amish|an American follower of the Mennonite religion
Dunker|an adherent of Baptistic doctrines (who practice baptism by immersion)
Christian|a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
Christian Scientist|a member of the Protestant church founded in the United States by Mary Baker Eddy
Adventist|a member of Christian denomination that expects the imminent advent of Christ
Protestant|an adherent of Protestantism
Friend|a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)
Catholic|a member of a Catholic church
Anglican Catholic|a member of the Anglican Church who emphasizes its Catholic character
Greek Catholic|a member of the Greek Orthodox Church
Roman Catholic|a member of the Roman Catholic Church
Old Catholic|a member of the church formed in the 19th century by German Catholics who refused to accept the infallibility of the Pope
Uniat|a member of the Uniat Church
Copt|a member of the Coptic Church
Jew|a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties
Jewess|a woman who is a Jew
Muslim|a believer in or follower of Islam
Islamist|an orthodox Muslim
Almoravid|a member of a Muslim dynasty of Berber warriors that flourished from 1049 to 1145 and that established political dominance over northwestern Africa and Spain
Jihadist|a Muslim who is involved in a jihad
Shiite|a member of the branch of Islam that regards Ali as the legitimate successor to Mohammed and rejects the first three caliphs
Sunnite|a member of the branch of Islam that accepts the first four caliphs as rightful successors to Muhammad
Buddhist|one who follows the teachings of Buddha
Zen Buddhist|an adherent of the doctrines of Zen Buddhism
Mahayanist|an adherent of Mahayana Buddhism
Hinayanist|an adherent of Hinayana Buddhism
Lamaist|(Buddhism) an adherent of Lamaism
Tantrist|an adherent of Tantrism
Hindu|a person who adheres to Hinduism
Jainist|a believer in Jainism
Hare Krishna|worshipper of Krishna and member of the International Society for Krishna Consciousness
Shaktist|worshipper of Shakti
Shivaist|worshipper of Shiva
Vaishnava|worshipper of Vishnu
Shintoist|a believer in Shintoism
Rastafarian|follower of Rastafarianism
Mithraist|adherent of Mithraism
Zoroastrian|follower of Zoroaster and Zoroastrianism
Eurafrican|a person of mixed European and African descent
Eurasian|a person of mixed European and Asian descent
European|a native or inhabitant of Europe
Celt|a member of a European people who once occupied Britain and Spain and Gaul prior to Roman times
Gael|a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man
Briton|an inhabitant of southern Britain prior to the Anglo-Saxon invasions
Gaul|a Celt of ancient Gaul
Galatian|a native or inhabitant of Galatia in Asia Minor (especially a member of a people believed to have been Gauls who conquered Galatia in the 3rd century BC)
Frank|a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
Salian Frank|a member of the tribe of Franks who settled in the Netherlands in the 4th century AD
Teuton|a member of the ancient Germanic people who migrated from Jutland to southern Gaul and were annihilated by the Romans
Afghan|a native or inhabitant of Afghanistan
Kafir|a member of the Kafir people in northeastern Afghanistan
Pathan|a member of the mountain people living in the eastern regions of Afghanistan; "Pathans are the predominant ethnic group in Afghanistan"
Albanian|a native or inhabitant of Albania
Algerian|a native or inhabitant of Algeria
Altaic|any member of the peoples speaking a language in the Altaic language group
Armenian|a native or inhabitant of Armenia
Andorran|a native or inhabitant of Andorra
Angolan|a native or inhabitant of Angola
Angolese|a member of the Bantu tribes resident in Angola
Anguillan|a native or inhabitant of the island of Anguilla in the West Indies
Antiguan|a native or inhabitant of Antigua
Argentinian|a native or inhabitant of Argentina
Australian|a native or inhabitant of Australia
Austronesian|a native or inhabitant of Austronesia
Austrian|a native or inhabitant of Austria
Bahamian|a native or inhabitant of the Bahamas
Bahraini|a native or inhabitant of Bahrain
Bangladeshi|a native or inhabitant of Bangladesh
Basotho|a member of a subgroup of people who inhabit Lesotho
Basque|a member of a people of unknown origin living in the western Pyrenees in France and Spain
Bengali|(Hinduism) a member of a people living in Bangladesh and West Bengal (mainly Hindus)
Bantu|a member of any of a large number of linguistically related peoples of Central and South Africa
Herero|a member of a pastoral Bantu people living in Namibia, Botswana, and Angola
Hutu|a member of a Bantu people living in Rwanda and Burundi
Luba|a member of a Bantu people in southeastern Congo
Sotho|a member of the Bantu people who inhabit Botswana, Lesotho, and northern South Africa and who speak the Sotho languages
Tswana|a member of a Bantu people living chiefly in Botswana and western South Africa
Tutsi|a member of a Bantu speaking people living in Rwanda and Burundi
Barbadian|a native or inhabitant of Barbados
Belgian|a native or inhabitant of Belgium
Beninese|a native or inhabitant of Benin
Bermudan|a native or inhabitant of Bermuda
Bhutanese|a native or inhabitant of Bhutan
Bolivian|a native or inhabitant of Bolivia
Bornean|a native or inhabitant of Borneo
Brazilian|a native or inhabitant of Brazil
Carioca|a native or inhabitant of Rio de Janeiro
Tupi|a member of the South American Indian people living in Brazil and Paraguay
Guarani|a member of the South American people living in Paraguay and Bolivia
Maraco|a member of the South American people living in Argentina and Bolivia and Paraguay
Bruneian|a native or inhabitant of Brunei
Bulgarian|a native or inhabitant of Bulgaria
Burmese|a native or inhabitant of Myanmar
Burundian|a native or inhabitant of Burundi
Byelorussian|a native or inhabitant of Byelorussia
Byzantine|a native or inhabitant of Byzantium or of the Byzantine Empire
Cambodian|a native or inhabitant of Cambodia
Cameroonian|a native or inhabitant of Cameroon
Canadian|a native or inhabitant of Canada
